nama_wilayah,nama_tahun,jenis_kelamin,persentasi
ACEH,2018,laki_laki,45.33
Simeulue,2018,laki_laki,42.92
Aceh Singkil,2018,laki_laki,45.39
Aceh Selatan,2018,laki_laki,36.96
Aceh Tenggara,2018,laki_laki,53.38
Aceh Timur,2018,laki_laki,32.96
Aceh Tengah,2018,laki_laki,45.47
Aceh Barat,2018,laki_laki,44.69
Aceh Besar,2018,laki_laki,53.26
Pidie,2018,laki_laki,43.62
Bireuen,2018,laki_laki,39.19
Aceh Utara,2018,laki_laki,34.87
Aceh Barat Daya,2018,laki_laki,33.92
Gayo Lues,2018,laki_laki,40.13
Aceh Tamiang,2018,laki_laki,41.68
Nagan Raya,2018,laki_laki,38.97
Aceh Jaya,2018,laki_laki,34.53
Bener Meriah,2018,laki_laki,44.11
Pidie Jaya,2018,laki_laki,39.9
Kota Banda Aceh,2018,laki_laki,82.91
Kota Sabang,2018,laki_laki,69.61
Kota Langsa,2018,laki_laki,65.49
Kota Lhokseumawe,2018,laki_laki,65.11
Kota Subulussalam,2018,laki_laki,36.82
SUMATERA UTARA,2018,laki_laki,47.52
Nias,2018,laki_laki,20.68
Mandailing Natal,2018,laki_laki,30.64
Tapanuli Selatan,2018,laki_laki,36.98
Tapanuli Tengah,2018,laki_laki,34.87
Tapanuli Utara,2018,laki_laki,49.17
Toba Samosir / Toba,2018,laki_laki,58.93
Labuhan Batu,2018,laki_laki,40.32
Asahan,2018,laki_laki,36.77
Simalungun,2018,laki_laki,44.95
Dairi,2018,laki_laki,44.89
Karo,2018,laki_laki,45.79
Deli Serdang,2018,laki_laki,52.16
Langkat,2018,laki_laki,37.2
Nias Selatan,2018,laki_laki,29.76
Humbang Hasundutan,2018,laki_laki,49.08
Pakpak Bharat,2018,laki_laki,37.08
Samosir,2018,laki_laki,49.59
Serdang Bedagai,2018,laki_laki,36.69
Batu Bara,2018,laki_laki,32.55
Padang Lawas Utara,2018,laki_laki,43.44
Padang Lawas,2018,laki_laki,35.02
Labuhan Batu Selatan,2018,laki_laki,35.08
Labuhan Batu Utara,2018,laki_laki,32.56
Nias Utara,2018,laki_laki,30.68
Nias Barat,2018,laki_laki,32.44
Kota Sibolga,2018,laki_laki,52.46
Kota Tanjung Balai,2018,laki_laki,47.15
Kota Pematang Siantar,2018,laki_laki,67.21
Kota Tebing Tinggi,2018,laki_laki,57.44
Kota Medan,2018,laki_laki,68.56
Kota Binjai,2018,laki_laki,62.67
Kota Padangsidimpuan,2018,laki_laki,59.46
Kota Gunungsitoli,2018,laki_laki,47.9
SUMATERA BARAT,2018,laki_laki,40.42
Kepulauan Mentawai,2018,laki_laki,32.5
Pesisir Selatan,2018,laki_laki,32.55
Solok,2018,laki_laki,29.52
Sijunjung,2018,laki_laki,31.35
Tanah Datar,2018,laki_laki,36.67
Padang Pariaman,2018,laki_laki,30.92
Agam,2018,laki_laki,37.89
Lima Puluh Kota,2018,laki_laki,24.67
Pasaman,2018,laki_laki,21.17
Solok Selatan,2018,laki_laki,34.46
Dharmasraya,2018,laki_laki,33.56
Pasaman Barat,2018,laki_laki,31.14
Kota Padang,2018,laki_laki,67.95
Kota Solok,2018,laki_laki,57.85
Kota Sawah Lunto,2018,laki_laki,46.65
